Contractor Employee Name,Contractor Employee E-mail,"NMCI Account Status (active, inactive, deleted)",Badged (Yes/No)
ANDRADE RACHAEL C JR,,,No
ANDRADE TONY Y JR,TONY.Y.ANDRADE.TEST@US.NAVY.MIL,Active,Yes
ANDREWS ANNABELLA V,,,No
ANDREWS ANTONIO U,,,No
ANDREWS ATHENA F,ATHENA.F.ANDREWS.TEST@US.NAVY.MIL,Active,Yes
ANDREWS AYANA X,,,No
ANDREWS DEREK K,,,No
ANDREWS TANNER G,TANNER.G.ANDREWS.TEST@US.NAVY.MIL,,Yes
ANTHONY ANGIE F,,,No
ANTHONY ANNIKA P JR,ANNIKA.P.ANTHONY.TEST@US.NAVY.MIL,Active,Yes
ANTHONY DAYANA I,,Active,Yes
ANTHONY JAX Q,,,No
ANTHONY RAPHAEL F,,Active,No
ANTHONY TYRONE I,,,No
ARCHER CALISTA I,,,No
ARCHER DESTIN C,DESTIN.C.ARCHER.TEST@US.NAVY.MIL,Deleted,Yes
ARCHER DULCE H,,,No
ARCHER GERMAN T,,Deleted,No
ARCHER KAEDEN J,,,No
ARCHER URIEL D,URIEL.D.ARCHER.TEST@US.NAVY.MIL,,No
ARELLANO AMARION R JR,,,Yes
ARELLANO BRANDEN K,,Active,Yes
ARELLANO DALTON U,,,No
ARELLANO DANIELLE L,,,No
ARELLANO DEMARCUS X,DEMARCUS.X.ARELLANO.TEST@US.NAVY.MIL,Active,Yes
ARELLANO HUMBERTO H,,,No
ARELLANO LYLA Y,LYLA.Y.ARELLANO.TEST@US.NAVY.MIL,Active,Yes
ARELLANO MELANY D,,,No
ARIAS AMIYAH W III,AMIYAH.W.ARIAS.TEST@US.NAVY.MIL,Active,Yes
ARIAS GAVYN Z,,,No
ARIAS HAYDEN V,HAYDEN.V.ARIAS.TEST@US.NAVY.MIL,Active,No
ARIAS KATHRYN C,KATHRYN.C.ARIAS.TEST@US.NAVY.MIL,Active,Yes
ARIAS SALMA S,,,No
ARIAS SONIA U SR,,,No
ARIAS SOPHIE C,,,No
ARMSTRONG ALIYAH D,ALIYAH.D.ARMSTRONG.TEST@US.NAVY.MIL,Active,Yes
ARMSTRONG BRANSON X,,,No
ARMSTRONG EDGAR W,EDGAR.W.ARMSTRONG.TEST@US.NAVY.MIL,Active,Yes
ARMSTRONG KOBE C,,,No
ARMSTRONG MARQUIS Q,,,No
ARMSTRONG RODOLFO I,RODOLFO.I.ARMSTRONG.TEST@US.NAVY.MIL,Active,No
ARMSTRONG TAYLOR E,,,No
ARMSTRONG ZAIRE Z,ZAIRE.Z.ARMSTRONG.TEST@US.NAVY.MIL,Active,Yes
ARNOLD ABBIGAIL T,ABBIGAIL.T.ARNOLD.TEST@US.NAVY.MIL,Active,Yes
ARNOLD FRIDA H,FRIDA.H.ARNOLD.TEST@US.NAVY.MIL,Active,No
ARNOLD LAURYN D,LAURYN.D.ARNOLD.TEST@US.NAVY.MIL,Active,Yes
ARNOLD MICHAELA K V,,,No
ARNOLD RONNIE K,,,No
ARNOLD SABRINA A,,,No
ARROYO ASHLEY V,ASHLEY.V.ARROYO.TEST@US.NAVY.MIL,,Yes
ARROYO MALIK O,,Deleted,No
ARROYO MARINA F,,,No
ARROYO MATTHIAS F,,,Yes
ARROYO NOEL E,,,No
ARROYO QUINN X,QUINN.X.ARROYO.TEST@US.NAVY.MIL,Active,Yes
ARROYO WENDY V,,,Yes
ARROYO ZANE H,ZANE.H.ARROYO.TEST@US.NAVY.MIL,Deleted,Yes
ASHLEY BRANDI O,,,No
ASHLEY GRACIE X,GRACIE.X.ASHLEY.TEST@US.NAVY.MIL,Active,Yes
ASHLEY MIRA H,,,No
ASHLEY SERGIO A,SERGIO.A.ASHLEY.TEST@US.NAVY.MIL,Deleted,Yes
ATKINS ANSLEY L,,,Yes
ATKINS CAYLA O,CAYLA.O.ATKINS.TEST@US.NAVY.MIL,Active,Yes
ATKINS DIAMOND U,DIAMOND.U.ATKINS.TEST@US.NAVY.MIL,Active,Yes
ATKINS HADLEY P,,,No
ATKINS JOANA J,,,Yes
ATKINSON AVERIE T,,,No
ATKINSON BRIELLE Y,,,No
ATKINSON CLARE Z,,,No
ATKINSON DANGELO P,,,No
ATKINSON DOUGLAS U,,,No
ATKINSON EMMETT U,,,No
ATKINSON MATHEW E,,,No
ATKINSON NATHEN O,,,No
AUSTIN ALLISON R,,,No
AUSTIN FELICITY R,,Deleted,No
AUSTIN SYLVIA P,SYLVIA.P.AUSTIN.TEST@US.NAVY.MIL,Active,Yes
AUSTIN ZOEY P III,,Deleted,Yes
AVERY ABIGAYLE W,ABIGAYLE.W.AVERY.TEST@US.NAVY.MIL,Active,No
AVERY CHAZ G,CHAZ.G.AVERY.TEST@US.NAVY.MIL,Active,Yes
AVERY KENNETH U,KENNETH.U.AVERY.TEST@US.NAVY.MIL,Active,No
AVERY MILTON E,,Active,No
AVERY NATHAN Q,,,No
AVERY PIERRE O,PIERRE.O.AVERY.TEST@US.NAVY.MIL,Active,Yes
AVERY VIVIANA U II,,Active,Yes
AYALA CALLIE W,,,No
AYALA COURTNEY R,COURTNEY.R.AYALA.TEST@US.NAVY.MIL,Deleted,No
AYALA GRAHAM T,,Deleted,No
AYALA JANESSA D,JANESSA.D.AYALA.TEST@US.NAVY.MIL,Active,Yes
AYALA JULIANNA I,JULIANNA.I.AYALA.TEST@US.NAVY.MIL,,Yes
AYALA KENNEDY G,,,No
AYALA NELSON M,,,Yes
AYALA TRAVON L,,,No
AYERS DAKOTA O III,DAKOTA.O.AYERS.TEST@US.NAVY.MIL,Deleted,Yes
AYERS HAYLEE Y,,,Yes
AYERS KAITLIN K,,,No
AYERS MARTIN M III,,,No
AYERS MISAEL J,,Deleted,Yes
AYERS TRAVON K,,,No
BAILEY AMBER M,,,Yes
BAILEY CLAUDIA U,,,No
BAILEY MONICA C,,,No
BAILEY TURNER D,TURNER.D.BAILEY.TEST@US.NAVY.MIL,Active,No
BAILEY WALTER D JR,WALTER.D.BAILEY.TEST@US.NAVY.MIL,Active,No
BAIRD AMIRA P,,,No
BAIRD ANAYA P,,,No
BAIRD ARACELI G,,Active,No
BAIRD BROCK X II,BROCK.X.BAIRD.TEST@US.NAVY.MIL,Active,Yes
BAIRD DIMITRI D,DIMITRI.D.BAIRD.TEST@US.NAVY.MIL,Active,Yes
BAIRD JORDYN Q,JORDYN.Q.BAIRD.TEST@US.NAVY.MIL,Deleted,No
BAIRD LEANNA U,LEANNA.U.BAIRD.TEST@US.NAVY.MIL,Deleted,Yes
BAIRD LUCIA Z SR,LUCIA.Z.BAIRD.TEST@US.NAVY.MIL,Active,Yes
BAIRD MYA L,MYA.L.BAIRD.TEST@US.NAVY.MIL,Active,Yes
BAIRD SEAN J,,,No
BAKER AIDEN K,,,No
BAKER JACE Z,JACE.Z.BAKER.TEST@US.NAVY.MIL,,Yes
BAKER LAINEY G,LAINEY.G.BAKER.TEST@US.NAVY.MIL,Active,Yes
BAKER MAYRA Z,,Active,No
BAKER SARAH K,,,No
BALDWIN ALISON B,,Active,Yes
BALDWIN AUBREE W,,,No
BALDWIN AUBRIE I,,,No
BALDWIN BEATRICE T,,,Yes
BALDWIN KAREN E,,,No
BALDWIN NATHALIE M,,,No
BALDWIN NEIL M,,,No
BALDWIN SHANE L,SHANE.L.BALDWIN.TEST@US.NAVY.MIL,Active,Yes
BALL BRAYAN L,,,No
BALL CARLI G,,,No
BALL HILLARY F,,,No
BALL LEA Z,LEA.Z.BALL.TEST@US.NAVY.MIL,Active,Yes
BALL OWEN H,,,No
BALL STEFAN Y,,,No
BALL WARREN M,,,No
BALLARD ALONDRA O,,,No
BALLARD DOMINIQUE I,,,Yes
BALLARD HAILEE D,,,No
BALLARD JOLIE F,JOLIE.F.BALLARD.TEST@US.NAVY.MIL,Active,No
BALLARD JULIO T,JULIO.T.BALLARD.TEST@US.NAVY.MIL,Active,Yes
BALLARD KYLAN A,KYLAN.A.BALLARD.TEST@US.NAVY.MIL,,Yes
BALLARD MIRACLE U,MIRACLE.U.BALLARD.TEST@US.NAVY.MIL,Active,Yes
BALLARD SHAKIRA P,SHAKIRA.P.BALLARD.TEST@US.NAVY.MIL,Active,No
BALLARD SHELBY Z,SHELBY.Z.BALLARD.TEST@US.NAVY.MIL,,Yes
BANKS DAYANARA W,,,No
BANKS GEORGIA G,GEORGIA.G.BANKS.TEST@US.NAVY.MIL,Active,Yes
BANKS JAIDEN R,,,No
BANKS KADENCE T,KADENCE.T.BANKS.TEST@US.NAVY.MIL,Active,Yes
BANKS SHANIYA Z DR,SHANIYA.Z.BANKS.TEST@US.NAVY.MIL,,No
BARAJAS ABBY Q,ABBY.Q.BARAJAS.TEST@US.NAVY.MIL,Active,Yes
BARAJAS CRISTOFER M,,,No
BARAJAS EMMALEE J,EMMALEE.J.BARAJAS.TEST@US.NAVY.MIL,Active,Yes
BARAJAS GUADALUPE V,GUADALUPE.V.BARAJAS.TEST@US.NAVY.MIL,Active,Yes
BARAJAS KATIE E,,,No
BARAJAS SINCERE C,,Active,Yes
BARBER ALISSA G,ALISSA.G.BARBER.TEST@US.NAVY.MIL,Active,Yes
BARBER ARON U,,,No
BARBER EMMALEE D,,,No
BARBER LISA F,LISA.F.BARBER.TEST@US.NAVY.MIL,Active,Yes
BARBER SHEILA T,SHEILA.T.BARBER.TEST@US.NAVY.MIL,Active,No
BARBER ZANE P,,,No
BARKER CARLA M,,,No
BARKER GRAYSON D,GRAYSON.D.BARKER.TEST@US.NAVY.MIL,Active,Yes
BARKER GUNNAR E,GUNNAR.E.BARKER.TEST@US.NAVY.MIL,Active,Yes
BARKER NADIA E,,,No
BARKER VINCENT Z,,,No
BARNES ADDISON V,,,No
BARNES ANGEL R,,,No
BARNES ANTONY M,,,No
BARNES JARON Q III,,,No
BARNES KENNEDY Q,,,No
BARNES LAINEY J,,,No
BARNES LINDA L,LINDA.L.BARNES.TEST@US.NAVY.MIL,,Yes
BARNES MAURICE C,,,Yes
BARNES TERRY B,,,Yes
BARNETT ALANNA D,ALANNA.D.BARNETT.TEST@US.NAVY.MIL,Active,Yes
BARNETT ANGELIQUE A,,,No
BARNETT AYLA T,,,No
BARNETT BRIDGET X,BRIDGET.X.BARNETT.TEST@US.NAVY.MIL,,Yes
BARNETT QUINTEN L,,,No
BARR COOPER L,COOPER.L.BARR.TEST@US.NAVY.MIL,Active,Yes
BARR ELIZA L,ELIZA.L.BARR.TEST@US.NAVY.MIL,Active,Yes
BARR JULIANNA D,,,No
BARR KALI I,,,No
BARR MELINA H,,,No
BARR MISAEL Z,MISAEL.Z.BARR.TEST@US.NAVY.MIL,Active,No
BARRERA ALIZE Y,ALIZE.Y.BARRERA.TEST@US.NAVY.MIL,Active,No
BARRERA BRANSON Y,BRANSON.Y.BARRERA.TEST@US.NAVY.MIL,Active,No
BARRERA BRIANNA K,BRIANNA.K.BARRERA.TEST@US.NAVY.MIL,Active,Yes
BARRERA CARRIE M,CARRIE.M.BARRERA.TEST@US.NAVY.MIL,Active,Yes
BARRERA TRENTON S,,,No
BARRETT ABIGALE F,,,No
BARRETT BIANCA Z,BIANCA.Z.BARRETT.TEST@US.NAVY.MIL,Active,Yes
BARRETT ELLEN B,ELLEN.B.BARRETT.TEST@US.NAVY.MIL,Active,Yes
BARRETT KAMARI K,KAMARI.K.BARRETT.TEST@US.NAVY.MIL,,No
BARRETT KELLEN Y III,,,No
BARRETT LAURA V,LAURA.V.BARRETT.TEST@US.NAVY.MIL,Active,No
BARRETT MALEAH M,MALEAH.M.BARRETT.TEST@US.NAVY.MIL,Active,No
BARRETT NIKKI Q,NIKKI.Q.BARRETT.TEST@US.NAVY.MIL,Active,Yes
BARRON BERNARDO I II,,,No
BARRON CLARENCE V JR,,Deleted,No
BARRON EDUARDO Z,EDUARDO.Z.BARRON.TEST@US.NAVY.MIL,Active,No
BARRON GLENN C,,Deleted,Yes
BARRON JOHNATHAN P,JOHNATHAN.P.BARRON.TEST@US.NAVY.MIL,Deleted,No
BARRON JOHNNY G,JOHNNY.G.BARRON.TEST@US.NAVY.MIL,Active,Yes
BARRON KARISSA P,,,Yes
BARRON MADALYNN X,,,No
BARRON NYASIA O,NYASIA.O.BARRON.TEST@US.NAVY.MIL,Active,Yes
BARRON QUINTON E,,,No
BARRY ABBY X,,,No
BARRY ANDY Q,ANDY.Q.BARRY.TEST@US.NAVY.MIL,Active,Yes
BARRY ARIEL I,,,No
BARRY HASSAN K,HASSAN.K.BARRY.TEST@US.NAVY.MIL,Active,No
BARRY JAXON P,,,No
BARRY JUNIOR E JR,JUNIOR.E.BARRY.TEST@US.NAVY.MIL,Active,Yes
BARRY KIERRA Y,,,No
BARRY MARISOL S,,,No
BARRY MAXIMILIAN O,,,No
BARRY NIGEL S,,,No
BARRY PEYTON W,PEYTON.W.BARRY.TEST@US.NAVY.MIL,Active,Yes
BARTLETT ALANI U,,,No
BARTLETT AMARIS Q,AMARIS.Q.BARTLETT.TEST@US.NAVY.MIL,Active,Yes
BARTLETT CASEY B,,,No
BARTLETT EMILIO H,EMILIO.H.BARTLETT.TEST@US.NAVY.MIL,Active,Yes
BARTLETT ISRAEL G,ISRAEL.G.BARTLETT.TEST@US.NAVY.MIL,Active,Yes
BARTLETT SAVANNA E,SAVANNA.E.BARTLETT.TEST@US.NAVY.MIL,Active,Yes
BARTLETT TAYLOR F,TAYLOR.F.BARTLETT.TEST@US.NAVY.MIL,Active,No
BARTLETT THEODORE A,,,Yes
BARTON ADDYSON A JR,ADDYSON.A.BARTON.TEST@US.NAVY.MIL,Active,Yes
BARTON ELLIANA M,,Deleted,Yes
BARTON JAREN U,JAREN.U.BARTON.TEST@US.NAVY.MIL,Active,Yes
BARTON MARTIN U JR,,,No
BASS AMY J,,Deleted,No
BASS ELLIE K,,,No
BASS JOEL Z,JOEL.Z.BASS.TEST@US.NAVY.MIL,Active,No
BASS JOSLYN F,,,No
BASS LIBBY W,LIBBY.W.BASS.TEST@US.NAVY.MIL,Active,No
BASS MUHAMMAD M,,,No
BATES JANIAH W,,,Yes
BATES KAYLA E,,,No
BATES SAWYER N,,,Yes
BAUER AVERY B JR,,,No
BAUER JAYLA O,JAYLA.O.BAUER.TEST@US.NAVY.MIL,Active,No
BAUER NIKO A,,,Yes
BAUER SANDY Q,SANDY.Q.BAUER.TEST@US.NAVY.MIL,Deleted,No
BAUER TALIYAH I,TALIYAH.I.BAUER.TEST@US.NAVY.MIL,Deleted,Yes
BAUTISTA ABRIL B,,,No
BAUTISTA GIDEON Z,,,No
BAUTISTA KAMERON J,,,No
BAUTISTA NORAH A,NORAH.A.BAUTISTA.TEST@US.NAVY.MIL,Active,Yes
BAUTISTA ROBERTO G,ROBERTO.G.BAUTISTA.TEST@US.NAVY.MIL,Active,Yes
BAUTISTA SIMEON U,SIMEON.U.BAUTISTA.TEST@US.NAVY.MIL,Active,Yes
BAUTISTA VIOLET K,VIOLET.K.BAUTISTA.TEST@US.NAVY.MIL,Active,No
BAXTER AEDAN P,AEDAN.P.BAXTER.TEST@US.NAVY.MIL,Active,Yes
BAXTER CORA M,,,No
BAXTER ELYSE O,,,Yes
BAXTER LOGAN X,LOGAN.X.BAXTER.TEST@US.NAVY.MIL,Active,No
BAXTER TONI K,,,No
BEAN IBRAHIM E,IBRAHIM.E.BEAN.TEST@US.NAVY.MIL,Active,Yes
BEAN KELSEY Y,,,No
BEARD BRUCE V,,,No
BEARD EMILEE N,,,No
BEARD KHLOE H,,,No
BEARD SONIA V,SONIA.V.BEARD.TEST@US.NAVY.MIL,Deleted,No
BEARD TERRENCE J,TERRENCE.J.BEARD.TEST@US.NAVY.MIL,Active,Yes
BEASLEY HARPER A,,,Yes
BEASLEY HAYLEY P,,,No
BEASLEY JAYLEN T,,,No
BEASLEY JORGE F,,,Yes
BEASLEY KINGSTON R,,,No
BECK AUGUST I,,,Yes
BECK COLE Y,COLE.Y.BECK.TEST@US.NAVY.MIL,Active,No
BECK CRISTOPHER I,,,No
BECK KIANA E,,,No
BECK REBECA E,REBECA.E.BECK.TEST@US.NAVY.MIL,Active,Yes
BECKER ADRIANNA S,,Active,No
BECKER ALEXANDRIA Q,,,No
BECKER AURORA S,,,No
BECKER AVERY T,,,No
BECKER ERICA H II,,,No
BECKER KARLA E,,,No
BECKER REYNALDO G,REYNALDO.G.BECKER.TEST@US.NAVY.MIL,Active,Yes
BECKER RYLEIGH X,,,No
BECKER TALIA C,,,Yes
BECKER THERESA G,,,No
BELL AUGUST J,,,No
BELL IAN L,IAN.L.BELL.TEST@US.NAVY.MIL,Active,No
BELL KATELIN V,KATELIN.V.BELL.TEST@US.NAVY.MIL,Active,Yes
BELL MAKAILA V,,,No
BELL MARCEL A,,,No
BELL NEVAEH B,,,No
BELL PEYTON V,,,Yes
BELTRAN ANNABELLA Q DR,,Deleted,No
BELTRAN JANELLE U,,,No
BELTRAN JAZLYN Y,,,No
BELTRAN KAELYN H,,,No
BELTRAN LESLY W III,,Active,No
BELTRAN LYDIA N,,,No
BELTRAN NYAH R,,,No
BELTRAN VIVIANA L,VIVIANA.L.BELTRAN.TEST@US.NAVY.MIL,Active,No
BENDER BRODERICK M,,,No
BENDER BRYSON U,,Deleted,No
BENDER CARLA D,,,No
BENDER JAYDEN G,JAYDEN.G.BENDER.TEST@US.NAVY.MIL,Active,No
BENDER KASEY J,,,No
BENDER KESHAWN E,,,No
BENDER MYAH R,,,No
BENDER YARITZA D,YARITZA.D.BENDER.TEST@US.NAVY.MIL,Active,Yes
BENITEZ ARELI J,,,No
BENITEZ CASH X,,,Yes
BENITEZ CIERRA X,,,No
BENITEZ GERALD U,GERALD.U.BENITEZ.TEST@US.NAVY.MIL,Active,Yes
BENITEZ ISABELLE H,,,No
BENITEZ RAMON V,,,No
BENJAMIN ABBEY Q,,,No
BENJAMIN ALAYNA W JR,,,No
BENJAMIN ARIANNA K,,,No
BENJAMIN BRENTON K,BRENTON.K.BENJAMIN.TEST@US.NAVY.MIL,Active,Yes
BENJAMIN DANIKA I,,,No
BENJAMIN EVA W,,,No
BENJAMIN HUGH Q,HUGH.Q.BENJAMIN.TEST@US.NAVY.MIL,Active,No
BENJAMIN JASLENE M,,Active,Yes
BENJAMIN MARA B,,,No
BENJAMIN MARKUS B,,,No
BENJAMIN PETER Z,PETER.Z.BENJAMIN.TEST@US.NAVY.MIL,Active,Yes
BENNETT ARIANNA D,ARIANNA.D.BENNETT.TEST@US.NAVY.MIL,Active,Yes
BENNETT BRIANNE G V,,,No
BENNETT HAROLD X,,,No
BENNETT JAYLEN Z,JAYLEN.Z.BENNETT.TEST@US.NAVY.MIL,Active,Yes
BENNETT LORENA H,,,No
BENNETT MARIA G,MARIA.G.BENNETT.TEST@US.NAVY.MIL,,Yes
BENNETT WILSON F,WILSON.F.BENNETT.TEST@US.NAVY.MIL,Active,No
BENSON ALAN L,,,No
BENSON ANGEL L,,,No
BENSON CAROLYN Y,CAROLYN.Y.BENSON.TEST@US.NAVY.MIL,Active,Yes
BENSON ISIAH U,,,No
BENSON TEAGAN I,,Deleted,No
BENTLEY CLAIRE L,,,No
BENTLEY DEON R,DEON.R.BENTLEY.TEST@US.NAVY.MIL,Active,Yes
BENTLEY DESTINEY A,,,Yes
BENTLEY JANAE P,,,No
BENTLEY KARISSA L,,Deleted,No
BENTLEY SAVANA S,,,No
BENTLEY SYDNIE X,,,No
BENTLEY TESSA I,,,No
BENTON JEROME G,,,No
BENTON RAMON H,,Deleted,No
BENTON TESSA C,,,No
BERG ADDISON I,,,Yes
BERG ARACELI W,,,No
BERG ARLENE G,ARLENE.G.BERG.TEST@US.NAVY.MIL,Active,Yes
BERG BRIANA D,,,No
BERG CINDY U,,,No
BERG DASIA N,,,No
BERG DYLAN I,,,No
BERG MAXIMILIAN Q,,,No
BERG QUINTEN F,,,No
BERG SANIYA J,,,No
BERG ZAKARY W,,,Yes
BERGER EASTON H,EASTON.H.BERGER.TEST@US.NAVY.MIL,,Yes
BERGER JAMAL F,JAMAL.F.BERGER.TEST@US.NAVY.MIL,Active,Yes
BERGER TYSON M JR,TYSON.M.BERGER.TEST@US.NAVY.MIL,Active,No
BERNARD GENESIS D,,,Yes
BERNARD GRACELYN X,GRACELYN.X.BERNARD.TEST@US.NAVY.MIL,Active,No
BERNARD HARRISON L,,,Yes
BERNARD MARY E JR,MARY.E.BERNARD.TEST@US.NAVY.MIL,Active,Yes
BERNARD THALIA S,,,No
BERNARD ZION Z,,,No
BERRY DONALD Z,DONALD.Z.BERRY.TEST@US.NAVY.MIL,Active,Yes
BERRY ELMER F,,,Yes
BERRY KAEDEN U,,,No
BERRY KATLYN N,KATLYN.N.BERRY.TEST@US.NAVY.MIL,Active,Yes
BERRY MICAELA X,,,Yes
BERRY OMAR D,,,No
BERRY REUBEN S,,,Yes
BERRY SHANE J,,,Yes
BEST ALEXA T,ALEXA.T.BEST.TEST@US.NAVY.MIL,Active,Yes
BEST BRYAN B,BRYAN.B.BEST.TEST@US.NAVY.MIL,Active,Yes
BEST CADENCE K,,,No
BEST CAIDEN T,,,No
BEST KRISTIN A,,,No
BEST OLIVER S,OLIVER.S.BEST.TEST@US.NAVY.MIL,Active,Yes
BEST SABRINA L,SABRINA.L.BEST.TEST@US.NAVY.MIL,Active,Yes
BIRD ANYA T,ANYA.T.BIRD.TEST@US.NAVY.MIL,Active,Yes
BIRD CHEYENNE B,CHEYENNE.B.BIRD.TEST@US.NAVY.MIL,Active,No
BIRD JAVIER S,JAVIER.S.BIRD.TEST@US.NAVY.MIL,,Yes
BIRD NYASIA T,,,No
BIRD REESE G,REESE.G.BIRD.TEST@US.NAVY.MIL,Active,Yes
BIRD VANESSA Q,,,No
BISHOP AVA J,AVA.J.BISHOP.TEST@US.NAVY.MIL,Active,Yes
BISHOP JUSTIN P JR,,,No
BISHOP KYAN R,KYAN.R.BISHOP.TEST@US.NAVY.MIL,Active,Yes
BISHOP TURNER X,TURNER.X.BISHOP.TEST@US.NAVY.MIL,Active,Yes
BLACK ANGEL I,,,No
BLACK CASSIE D,,,No
BLACK EUGENE L,,,No
BLACK JAXSON O,JAXSON.O.BLACK.TEST@US.NAVY.MIL,Active,Yes
BLACK LEVI X,,,No
BLACK MADELEINE W,,,No
BLACK MARLEE W JR,,,No
BLACK MIKAELA T,,,No
BLACK RAEGAN A,RAEGAN.A.BLACK.TEST@US.NAVY.MIL,Active,Yes
BLACK RONAN U,RONAN.U.BLACK.TEST@US.NAVY.MIL,Active,Yes
BLACK TARYN M,,,No
BLACK VINCENZO M,VINCENZO.M.BLACK.TEST@US.NAVY.MIL,Active,Yes
BLACKBURN BRADYN X,BRADYN.X.BLACKBURN.TEST@US.NAVY.MIL,Active,No
BLACKBURN DALTON R,,,No
BLACKBURN EMMALEE I,,,No
